gene_name,experiment_ids,allen_gene_ids,entrez_ids,entrez_history,current_entrez_ids,mgi_ids,current_symbols,old_ensembl_id,mgi_candidates,ncbi_candidates,candidate_ids,allen_target_ambiguous,ensembl_ids,rejected_candidates,status
Ctnnd1,[74641320],[12173],"[""12388""]","[[""12388""]]","[""12388""]","[""MGI:105100""]","[""Ctnnd1""]",ENSMUSG00000034101,"[""ENSMUSG00000034101""]","[""ENSMUSG00000034101""]","[""ENSMUSG00000034101""]",False,"[""ENSMUSG00000034101""]",{},one_to_one
Ctps,[1185],[31277],"[""51797""]","[[""51797""]]","[""51797""]","[""MGI:1858304""]","[""Ctps1""]",ENSMUSG00000028633,"[""ENSMUSG00000028633""]","[""ENSMUSG00000028633""]","[""ENSMUSG00000028633""]",False,"[""ENSMUSG00000028633""]",{},one_to_one
Ctsb,[67779877],[12813],"[""13030""]","[[""13030""]]","[""13030""]","[""MGI:88561""]","[""Ctsb""]",ENSMUSG00000021939,"[""ENSMUSG00000021939""]","[""ENSMUSG00000021939""]","[""ENSMUSG00000021939""]",False,"[""ENSMUSG00000021939""]",{},one_to_one
Ctsl,[1187],[12820],"[""13039""]","[[""13039""]]","[""13039""]","[""MGI:88564""]","[""Ctsl""]",ENSMUSG00000021477,"[""ENSMUSG00000021477""]","[""ENSMUSG00000021477""]","[""ENSMUSG00000021477""]",False,"[""ENSMUSG00000021477""]",{},one_to_one
Ctss,[77371797],[12821],"[""13040""]","[[""13040""]]","[""13040""]","[""MGI:107341""]","[""Ctss""]",ENSMUSG00000038642,"[""ENSMUSG00000038642""]","[""ENSMUSG00000038642""]","[""ENSMUSG00000038642""]",False,"[""ENSMUSG00000038642""]",{},one_to_one
Ctsw,[75041420],[12822],"[""13041""]","[[""13041""]]","[""13041""]","[""MGI:1338045""]","[""Ctsw""]",ENSMUSG00000024910,"[""ENSMUSG00000024910""]","[""ENSMUSG00000024910""]","[""ENSMUSG00000024910""]",False,"[""ENSMUSG00000024910""]",{},one_to_one
Ctsz,[71015377],[40771],"[""64138""]","[[""64138""]]","[""64138""]","[""MGI:1891190""]","[""Ctsz""]",ENSMUSG00000016256,"[""ENSMUSG00000016256""]","[""ENSMUSG00000016256""]","[""ENSMUSG00000016256""]",False,"[""ENSMUSG00000016256""]",{},one_to_one
Cttn,[70616018],[12824],"[""13043""]","[[""13043""]]","[""13043""]","[""MGI:99695""]","[""Cttn""]",ENSMUSG00000031078,"[""ENSMUSG00000031078""]","[""ENSMUSG00000031078""]","[""ENSMUSG00000031078""]",False,"[""ENSMUSG00000031078""]",{},one_to_one
Ctu1,[70927830],[87590],"[""233189""]","[[""233189""]]","[""233189""]","[""MGI:2385277""]","[""Ctu1""]",ENSMUSG00000038888,"[""ENSMUSG00000038888""]","[""ENSMUSG00000038888""]","[""ENSMUSG00000038888""]",False,"[""ENSMUSG00000038888""]",{},one_to_one
Ctxn1,[74586669],[108965],"[""330695""]","[[""330695""]]","[""330695""]","[""MGI:88566""]","[""Ctxn1""]",ENSMUSG00000048644,"[""ENSMUSG00000048644""]","[""ENSMUSG00000048644""]","[""ENSMUSG00000048644""]",False,"[""ENSMUSG00000048644""]",{},one_to_one
Cubn,[75041430],[41812],"[""65969""]","[[""65969""]]","[""65969""]","[""MGI:1931256""]","[""Cubn""]",ENSMUSG00000026726,"[""ENSMUSG00000026726""]","[""ENSMUSG00000026726""]","[""ENSMUSG00000026726""]",False,"[""ENSMUSG00000026726""]",{},one_to_one
Cuedc2,[79556640],[42959],"[""67116""]","[[""67116""]]","[""67116""]","[""MGI:1914366""]","[""Cuedc2""]",ENSMUSG00000036748,"[""ENSMUSG00000036748""]","[""ENSMUSG00000036748""]","[""ENSMUSG00000036748""]",False,"[""ENSMUSG00000036748""]",{},one_to_one
Cul4a,[75749399],[63545],"[""99375""]","[[""99375""]]","[""99375""]","[""MGI:1914487""]","[""Cul4a""]",ENSMUSG00000031446,"[""ENSMUSG00000031446""]","[""ENSMUSG00000031446""]","[""ENSMUSG00000031446""]",False,"[""ENSMUSG00000031446""]",{},one_to_one
Cux1,[79556618],[12828],"[""13047""]","[[""13047""]]","[""13047""]","[""MGI:88568""]","[""Cux1""]",ENSMUSG00000029705,"[""ENSMUSG00000029705""]","[""ENSMUSG00000029705""]","[""ENSMUSG00000029705""]",False,"[""ENSMUSG00000029705""]",{},one_to_one
Cux2,[72128748],[12829],"[""13048""]","[[""13048""]]","[""13048""]","[""MGI:107321""]","[""Cux2""]",ENSMUSG00000042589,"[""ENSMUSG00000042589""]","[""ENSMUSG00000042589""]","[""ENSMUSG00000042589""]",False,"[""ENSMUSG00000042589""]",{},one_to_one
Cwc25,[73929874],[43323],"[""67480""]","[[""67480""]]","[""67480""]","[""MGI:1914730""]","[""Cwc25""]",ENSMUSG00000018541,"[""ENSMUSG00000018541""]","[""ENSMUSG00000018541""]","[""ENSMUSG00000018541""]",False,"[""ENSMUSG00000018541""]",{},one_to_one
Cwh43,[74819236],[87224],"[""231293""]","[[""231293""]]","[""231293""]","[""MGI:2444131""]","[""Cwh43""]",ENSMUSG00000029154,"[""ENSMUSG00000029154""]","[""ENSMUSG00000029154""]","[""ENSMUSG00000029154""]",False,"[""ENSMUSG00000029154""]",{},one_to_one
